import des bases...
importé

filtrage ADs dans base vehicules...
fin

on part de 5.523543385856325 et on veut 2.3125 (diminution de 58.1337587404233%)

3.2110433858563248 Mtonnes encore à gagner
3.208534831245675 Mtonnes encore à gagner
3.2072286475916476 Mtonnes encore à gagner
3.2049634382652004 Mtonnes encore à gagner
3.199638101027575 Mtonnes encore à gagner
3.1986106924324647 Mtonnes encore à gagner
3.1940794836442263 Mtonnes encore à gagner
3.19135998398842 Mtonnes encore à gagner
3.188820897781704 Mtonnes encore à gagner
3.1836789109819783 Mtonnes encore à gagner
3.1824933706871272 Mtonnes encore à gagner
3.1807576573046488 Mtonnes encore à gagner
3.177059950453418 Mtonnes encore à gagner
3.169663047714443 Mtonnes encore à gagner
3.1674663720179694 Mtonnes encore à gagner
3.1567260125557377 Mtonnes encore à gagner
3.1530013732105244 Mtonnes encore à gagner
3.15171835831978 Mtonnes encore à gagner
3.1511151276717397 Mtonnes encore à gagner
3.1479798146891786 Mtonnes encore à gagner
3.1477877869383573 Mtonnes encore à gagner
3.142725539727743 Mtonnes encore à gagner
3.1421004106342254 Mtonnes encore à gagner
3.1401546997163567 Mtonnes encore à gagner
3.1387605035481485 Mtonnes encore à gagner
3.133077341985442 Mtonnes encore à gagner
3.131599793687757 Mtonnes encore à gagner
3.1231957743399814 Mtonnes encore à gagner
3.119962891820255 Mtonnes encore à gagner
3.118418817713086 Mtonnes encore à gagner
3.1178748615139416 Mtonnes encore à gagner
3.114999866015779 Mtonnes encore à gagner
3.105629979141608 Mtonnes encore à gagner
3.1016837207822467 Mtonnes encore à gagner
3.0941247110081056 Mtonnes encore à gagner
3.0898317311913823 Mtonnes encore à gagner
3.087844795319568 Mtonnes encore à gagner
3.084778686246657 Mtonnes encore à gagner
3.0820090584763022 Mtonnes encore à gagner
3.0806269586388657 Mtonnes encore à gagner
3.0797675560968862 Mtonnes encore à gagner
3.066112110859356 Mtonnes encore à gagner
3.0633725142196013 Mtonnes encore à gagner
3.0617436493232857 Mtonnes encore à gagner
3.0541997513493175 Mtonnes encore à gagner
3.0527707249116034 Mtonnes encore à gagner
3.0522148318948474 Mtonnes encore à gagner
3.0497671816118084 Mtonnes encore à gagner
3.039741657060951 Mtonnes encore à gagner
3.0386129449117982 Mtonnes encore à gagner
3.036827266749299 Mtonnes encore à gagner
3.0353933759026743 Mtonnes encore à gagner
3.0343317476922342 Mtonnes encore à gagner
3.0335675584975226 Mtonnes encore à gagner
3.0291830184580544 Mtonnes encore à gagner
3.025394436514805 Mtonnes encore à gagner
3.0225223477579464 Mtonnes encore à gagner
3.013795012724904 Mtonnes encore à gagner
3.0135843698232225 Mtonnes encore à gagner
3.0012657600509014 Mtonnes encore à gagner
2.993349509662293 Mtonnes encore à gagner
2.990957308032489 Mtonnes encore à gagner
2.987582823966817 Mtonnes encore à gagner
2.9798497294142514 Mtonnes encore à gagner
2.976059396133482 Mtonnes encore à gagner
2.975264810609861 Mtonnes encore à gagner
2.9719277301316573 Mtonnes encore à gagner
2.9702845901643817 Mtonnes encore à gagner
2.9668928049523746 Mtonnes encore à gagner
2.963146936439509 Mtonnes encore à gagner
2.9625563008710083 Mtonnes encore à gagner
2.9609954715303033 Mtonnes encore à gagner
2.9591530523563394 Mtonnes encore à gagner
2.9576685498257556 Mtonnes encore à gagner
2.9521382295260823 Mtonnes encore à gagner
2.936027162292282 Mtonnes encore à gagner
2.92688160681673 Mtonnes encore à gagner
2.922124896938162 Mtonnes encore à gagner
2.91431904714527 Mtonnes encore à gagner
2.911017062160475 Mtonnes encore à gagner
2.908652562762459 Mtonnes encore à gagner
2.9084890213866066 Mtonnes encore à gagner
2.9080163155774255 Mtonnes encore à gagner
2.9069701164292825 Mtonnes encore à gagner
